Wilayah;Lintang;Bujur;Jenjang;Baik;Ringan;Sedang;Berat
Indonesia;-2,219622;117,564668;SD;2666;2470;181;401
Indonesia;-2,219622;117,564668;SLB;21;32;1;3
Indonesia;-2,219622;117,564668;SMA;9279;8492;569;988
Indonesia;-2,219622;117,564668;SMK;2798;2651;101;216
Indonesia;-2,219622;117,564668;SMP;9810;16338;1876;3451
Prop. D.K.I. Jakarta;-6,208763;106,845599;SD;560;285;12;20
Prop. D.K.I. Jakarta;-6,208763;106,845599;SLB;3;4;0;0
Prop. D.K.I. Jakarta;-6,208763;106,845599;SMA;689;363;5;25
Prop. D.K.I. Jakarta;-6,208763;106,845599;SMK;104;118;2;9
Prop. D.K.I. Jakarta;-6,208763;106,845599;SMP;801;422;27;48
Prop. Jawa Barat;-7,090911;107,668887;SD;294;228;11;28
Prop. Jawa Barat;-7,090911;107,668887;SLB;0;4;1;1
Prop. Jawa Barat;-7,090911;107,668887;SMA;967;900;66;109
Prop. Jawa Barat;-7,090911;107,668887;SMK;398;322;24;33
Prop. Jawa Barat;-7,090911;107,668887;SMP;1174;2066;233;396
Prop. Jawa Tengah;-7,150975;110,140259;SD;285;457;52;106
Prop. Jawa Tengah;-7,150975;110,140259;SLB;4;8;0;1
Prop. Jawa Tengah;-7,150975;110,140259;SMA;1124;845;51;60
Prop. Jawa Tengah;-7,150975;110,140259;SMK;436;468;19;38
Prop. Jawa Tengah;-7,150975;110,140259;SMP;1146;2194;220;320
Prop. D.I. Yogyakarta;-7,79558;110,36949;SD;123;150;9;13
Prop. D.I. Yogyakarta;-7,79558;110,36949;SLB;4;1;0;0
Prop. D.I. Yogyakarta;-7,79558;110,36949;SMA;205;183;7;15
Prop. D.I. Yogyakarta;-7,79558;110,36949;SMK;62;53;2;0
Prop. D.I. Yogyakarta;-7,79558;110,36949;SMP;226;349;17;29
Prop. Jawa Timur;-7,536064;112,238402;SD;414;503;32;76
Prop. Jawa Timur;-7,536064;112,238402;SLB;0;2;0;1
Prop. Jawa Timur;-7,536064;112,238402;SMA;1059;970;44;88
Prop. Jawa Timur;-7,536064;112,238402;SMK;328;361;5;23
Prop. Jawa Timur;-7,536064;112,238402;SMP;1246;2393;245;426
Prop. Aceh;3,93002;97,833252;SD;20;27;1;3
Prop. Aceh;3,93002;97,833252;SLB;1;0;0;0
Prop. Aceh;3,93002;97,833252;SMA;288;416;34;66
Prop. Aceh;3,93002;97,833252;SMK;65;76;2;0
Prop. Aceh;3,93002;97,833252;SMP;260;550;73;135
Prop. Sumatera Utara;2,163792;98,256226;SD;118;53;2;9
Prop. Sumatera Utara;2,163792;98,256226;SLB;0;0;0;0
Prop. Sumatera Utara;2,163792;98,256226;SMA;744;642;41;91
Prop. Sumatera Utara;2,163792;98,256226;SMK;245;188;8;15
Prop. Sumatera Utara;2,163792;98,256226;SMP;643;971;94;167
Prop. Sumatera Barat;-0,944781;100,689697;SD;27;23;0;3
Prop. Sumatera Barat;-0,944781;100,689697;SLB;1;0;0;0
Prop. Sumatera Barat;-0,944781;100,689697;SMA;273;175;10;26
Prop. Sumatera Barat;-0,944781;100,689697;SMK;68;44;1;0
Prop. Sumatera Barat;-0,944781;100,689697;SMP;212;330;48;84
Prop. Riau;0,439449;101,942139;SD;128;140;12;14
Prop. Riau;0,439449;101,942139;SLB;2;1;0;0
Prop. Riau;0,439449;101,942139;SMA;258;246;11;17
Prop. Riau;0,439449;101,942139;SMK;46;47;0;0
Prop. Riau;0,439449;101,942139;SMP;194;427;56;78
Prop. Jambi;-1,589423;103,60911;SD;27;16;2;0
Prop. Jambi;-1,589423;103,60911;SLB;0;0;0;0
Prop. Jambi;-1,589423;103,60911;SMA;118;143;10;19
Prop. Jambi;-1,589423;103,60911;SMK;23;36;0;7
Prop. Jambi;-1,589423;103,60911;SMP;101;272;53;78
Prop. Sumatera Selatan;-3,319437;103,914399;SD;44;56;5;10
Prop. Sumatera Selatan;-3,319437;103,914399;SLB;1;1;0;0
Prop. Sumatera Selatan;-3,319437;103,914399;SMA;399;333;32;40
Prop. Sumatera Selatan;-3,319437;103,914399;SMK;65;42;1;7
Prop. Sumatera Selatan;-3,319437;103,914399;SMP;239;468;61;125
Prop. Lampung;-4,558585;105,406808;SD;30;37;4;6
Prop. Lampung;-4,558585;105,406808;SLB;0;0;0;0
Prop. Lampung;-4,558585;105,406808;SMA;246;311;31;39
Prop. Lampung;-4,558585;105,406808;SMK;89;90;2;6
Prop. Lampung;-4,558585;105,406808;SMP;273;547;91;197
Prop. Kalimantan Barat;-0,278781;111,475285;SD;38;25;7;16
Prop. Kalimantan Barat;-0,278781;111,475285;SLB;0;0;0;0
Prop. Kalimantan Barat;-0,278781;111,475285;SMA;218;192;9;25
Prop. Kalimantan Barat;-0,278781;111,475285;SMK;44;33;1;7
Prop. Kalimantan Barat;-0,278781;111,475285;SMP;186;341;50;91
Prop. Kalimantan Tengah;-1,681488;113,382355;SD;15;19;0;3
Prop. Kalimantan Tengah;-1,681488;113,382355;SLB;0;0;0;0
Prop. Kalimantan Tengah;-1,681488;113,382355;SMA;112;128;8;11
Prop. Kalimantan Tengah;-1,681488;113,382355;SMK;35;45;2;1
Prop. Kalimantan Tengah;-1,681488;113,382355;SMP;151;271;23;57
Prop. Kalimantan Selatan;-3,092642;115,283758;SD;56;70;2;2
Prop. Kalimantan Selatan;-3,092642;115,283758;SLB;0;0;0;0
