Wilayah;Lintang;Bujur;Jenjang;Baik;Ringan;Sedang;Berat
Indonesia;-2,219622;117,564668;SD;27313;50146;4305;7108
Indonesia;-2,219622;117,564668;SLB;291;452;41;48
Indonesia;-2,219622;117,564668;SMA;4189;4469;331;591
Indonesia;-2,219622;117,564668;SMK;3306;3503;209;343
Indonesia;-2,219622;117,564668;SMP;7868;15191;1805;3209
Prop. D.K.I. Jakarta;-6,208763;106,845599;SD;953;629;36;59
Prop. D.K.I. Jakarta;-6,208763;106,845599;SLB;17;24;1;1
Prop. D.K.I. Jakarta;-6,208763;106,845599;SMA;229;135;5;11
Prop. D.K.I. Jakarta;-6,208763;106,845599;SMK;174;211;8;16
Prop. D.K.I. Jakarta;-6,208763;106,845599;SMP;521;334;22;50
Prop. Jawa Barat;-7,090911;107,668887;SD;2537;5846;597;977
Prop. Jawa Barat;-7,090911;107,668887;SLB;42;110;15;14
Prop. Jawa Barat;-7,090911;107,668887;SMA;463;454;38;62
Prop. Jawa Barat;-7,090911;107,668887;SMK;559;613;34;88
Prop. Jawa Barat;-7,090911;107,668887;SMP;939;1889;226;378
Prop. Jawa Tengah;-7,150975;110,140259;SD;3640;7369;595;903
Prop. Jawa Tengah;-7,150975;110,140259;SLB;22;60;4;3
Prop. Jawa Tengah;-7,150975;110,140259;SMA;364;336;23;38
Prop. Jawa Tengah;-7,150975;110,140259;SMK;456;484;30;43
Prop. Jawa Tengah;-7,150975;110,140259;SMP;796;1631;181;261
Prop. D.I. Yogyakarta;-7,79558;110,36949;SD;534;970;58;47
Prop. D.I. Yogyakarta;-7,79558;110,36949;SLB;31;31;1;5
Prop. D.I. Yogyakarta;-7,79558;110,36949;SMA;73;73;4;6
Prop. D.I. Yogyakarta;-7,79558;110,36949;SMK;86;68;3;7
Prop. D.I. Yogyakarta;-7,79558;110,36949;SMP;120;249;14;19
Prop. Jawa Timur;-7,536064;112,238402;SD;3322;6687;628;1060
Prop. Jawa Timur;-7,536064;112,238402;SLB;31;56;7;9
Prop. Jawa Timur;-7,536064;112,238402;SMA;446;487;38;58
Prop. Jawa Timur;-7,536064;112,238402;SMK;399;504;30;42
Prop. Jawa Timur;-7,536064;112,238402;SMP;834;1971;186;344
Prop. Aceh;3,93002;97,833252;SD;665;1622;139;206
Prop. Aceh;3,93002;97,833252;SLB;3;4;1;1
Prop. Aceh;3,93002;97,833252;SMA;128;219;15;26
Prop. Aceh;3,93002;97,833252;SMK;55;64;2;0
Prop. Aceh;3,93002;97,833252;SMP;197;484;89;121
Prop. Sumatera Utara;2,163792;98,256226;SD;1857;2837;176;283
Prop. Sumatera Utara;2,163792;98,256226;SLB;14;7;0;2
Prop. Sumatera Utara;2,163792;98,256226;SMA;361;341;26;38
Prop. Sumatera Utara;2,163792;98,256226;SMK;256;231;25;21
Prop. Sumatera Utara;2,163792;98,256226;SMP;577;977;96;158
Prop. Sumatera Barat;-0,944781;100,689697;SD;989;1347;91;124
Prop. Sumatera Barat;-0,944781;100,689697;SLB;20;25;3;0
Prop. Sumatera Barat;-0,944781;100,689697;SMA;126;108;7;13
Prop. Sumatera Barat;-0,944781;100,689697;SMK;73;50;2;8
Prop. Sumatera Barat;-0,944781;100,689697;SMP;207;328;35;73
Prop. Riau;0,439449;101,942139;SD;622;1063;94;139
Prop. Riau;0,439449;101,942139;SLB;7;9;2;0
Prop. Riau;0,439449;101,942139;SMA;128;137;3;14
Prop. Riau;0,439449;101,942139;SMK;55;50;3;2
Prop. Riau;0,439449;101,942139;SMP;200;407;51;84
Prop. Jambi;-1,589423;103,60911;SD;354;923;108;150
Prop. Jambi;-1,589423;103,60911;SLB;1;6;1;0
Prop. Jambi;-1,589423;103,60911;SMA;64;83;8;15
Prop. Jambi;-1,589423;103,60911;SMK;55;46;0;5
Prop. Jambi;-1,589423;103,60911;SMP;87;301;45;61
Prop. Sumatera Selatan;-3,319437;103,914399;SD;930;1525;105;177
Prop. Sumatera Selatan;-3,319437;103,914399;SLB;10;5;0;0
Prop. Sumatera Selatan;-3,319437;103,914399;SMA;214;216;12;28
Prop. Sumatera Selatan;-3,319437;103,914399;SMK;77;76;5;9
Prop. Sumatera Selatan;-3,319437;103,914399;SMP;239;539;63;121
Prop. Lampung;-4,558585;105,406808;SD;652;1636;166;279
Prop. Lampung;-4,558585;105,406808;SLB;6;4;1;0
Prop. Lampung;-4,558585;105,406808;SMA;111;181;18;27
Prop. Lampung;-4,558585;105,406808;SMK;96;133;7;6
Prop. Lampung;-4,558585;105,406808;SMP;207;522;95;184
Prop. Kalimantan Barat;-0,278781;111,475285;SD;761;1554;171;244
Prop. Kalimantan Barat;-0,278781;111,475285;SLB;4;6;0;0
Prop. Kalimantan Barat;-0,278781;111,475285;SMA;125;129;7;20
Prop. Kalimantan Barat;-0,278781;111,475285;SMK;50;52;2;4
Prop. Kalimantan Barat;-0,278781;111,475285;SMP;214;490;59;106
Prop. Kalimantan Tengah;-1,681488;113,382355;SD;479;870;51;66
Prop. Kalimantan Tengah;-1,681488;113,382355;SLB;3;7;0;0
Prop. Kalimantan Tengah;-1,681488;113,382355;SMA;63;92;11;11
Prop. Kalimantan Tengah;-1,681488;113,382355;SMK;36;43;4;3
Prop. Kalimantan Tengah;-1,681488;113,382355;SMP;145;306;25;46
Prop. Kalimantan Selatan;-3,092642;115,283758;SD;672;1040;43;67
Prop. Kalimantan Selatan;-3,092642;115,283758;SLB;4;5;0;0
Prop. Kalimantan Selatan;-3,092642;115,283758;SMA;78;71;0;4
Prop. Kalimantan Selatan;-3,092642;115,283758;SMK;35;36;1;0
Prop. Kalimantan Selatan;-3,092642;115,283758;SMP;169;310;24;36
Prop. Kalimantan Timur;0,538659;116,419389;SD;365;542;40;85
Prop. Kalimantan Timur;0,538659;116,419389;SLB;7;5;1;0
Prop. Kalimantan Timur;0,538659;116,419389;SMA;81;65;5;3
Prop. Kalimantan Timur;0,538659;116,419389;SMK;68;63;2;4
Prop. Kalimantan Timur;0,538659;116,419389;SMP;156;248;20;26
Prop. Sulawesi Utara;0,624693;123,975002;SD;476;748;52;97
Prop. Sulawesi Utara;0,624693;123,975002;SLB;6;5;0;0
Prop. Sulawesi Utara;0,624693;123,975002;SMA;62;80;4;10
Prop. Sulawesi Utara;0,624693;123,975002;SMK;49;53;1;1
Prop. Sulawesi Utara;0,624693;123,975002;SMP;142;287;33;73
Prop. Sulawesi Tengah;-1,430025;121,445618;SD;556;833;65;164
Prop. Sulawesi Tengah;-1,430025;121,445618;SLB;3;4;0;0
Prop. Sulawesi Tengah;-1,430025;121,445618;SMA;57;60;4;16
Prop. Sulawesi Tengah;-1,430025;121,445618;SMK;48;43;4;4
Prop. Sulawesi Tengah;-1,430025;121,445618;SMP;134;246;43;115
Prop. Sulawesi Selatan;-3,668799;119,974053;SD;1446;2527;172;301
Prop. Sulawesi Selatan;-3,668799;119,974053;SLB;11;12;1;3
Prop. Sulawesi Selatan;-3,668799;119,974053;SMA;196;205;16;22
