Wilayah;Lintang;Bujur;Jenjang;Baik;RusakRingan;RusakSedang;RusakBerat
Indonesia;-2,219622;117,564668;SD;258924;584301;68776;120517
Indonesia;-2,219622;117,564668;SLB;5411;8986;758;929
Indonesia;-2,219622;117,564668;SMA;67738;64532;4815;7094
Indonesia;-2,219622;117,564668;SMK;60678;63434;3356;5303
Indonesia;-2,219622;117,564668;SMP;94184;188439;21194;31863
Prop. D.K.I. Jakarta;-6,208763;106,845599;SD;13751;8401;465;891
Prop. D.K.I. Jakarta;-6,208763;106,845599;SLB;550;383;13;46
Prop. D.K.I. Jakarta;-6,208763;106,845599;SMA;3379;1993;21;81
Prop. D.K.I. Jakarta;-6,208763;106,845599;SMK;2721;2868;80;212
Prop. D.K.I. Jakarta;-6,208763;106,845599;SMP;6169;3937;261;495
Prop. Jawa Barat;-7,090911;107,668887;SD;27104;79210;11516;18736
Prop. Jawa Barat;-7,090911;107,668887;SLB;847;1827;215;300
Prop. Jawa Barat;-7,090911;107,668887;SMA;8397;7640;651;808
Prop. Jawa Barat;-7,090911;107,668887;SMK;11144;11188;666;1298
Prop. Jawa Barat;-7,090911;107,668887;SMP;12823;28980;3822;4777
Prop. Jawa Tengah;-7,150975;110,140259;SD;27986;77855;8418;12818
Prop. Jawa Tengah;-7,150975;110,140259;SLB;636;1477;140;62
Prop. Jawa Tengah;-7,150975;110,140259;SMA;7176;4997;306;369
Prop. Jawa Tengah;-7,150975;110,140259;SMK;8827;10047;417;676
Prop. Jawa Tengah;-7,150975;110,140259;SMP;10991;23958;2481;3144
Prop. D.I. Yogyakarta;-7,79558;110,36949;SD;4054;8726;444;466
Prop. D.I. Yogyakarta;-7,79558;110,36949;SLB;613;495;14;55
Prop. D.I. Yogyakarta;-7,79558;110,36949;SMA;1038;910;43;58
Prop. D.I. Yogyakarta;-7,79558;110,36949;SMK;1631;1130;22;63
Prop. D.I. Yogyakarta;-7,79558;110,36949;SMP;1532;2834;155;139
Prop. Jawa Timur;-7,536064;112,238402;SD;29981;79154;8769;14674
Prop. Jawa Timur;-7,536064;112,238402;SLB;514;947;76;126
Prop. Jawa Timur;-7,536064;112,238402;SMA;7719;7084;421;810
Prop. Jawa Timur;-7,536064;112,238402;SMK;7472;9192;461;819
Prop. Jawa Timur;-7,536064;112,238402;SMP;11214;25395;2397;3435
Prop. Aceh;3,93002;97,833252;SD;5747;13838;1603;2604
Prop. Aceh;3,93002;97,833252;SLB;60;81;46;18
Prop. Aceh;3,93002;97,833252;SMA;1868;2929;289;324
Prop. Aceh;3,93002;97,833252;SMK;862;1057;32;50
Prop. Aceh;3,93002;97,833252;SMP;1930;5168;754;1012
Prop. Sumatera Utara;2,163792;98,256226;SD;21483;38109;3818;6040
Prop. Sumatera Utara;2,163792;98,256226;SLB;120;200;0;9
Prop. Sumatera Utara;2,163792;98,256226;SMA;4982;4693;314;437
Prop. Sumatera Utara;2,163792;98,256226;SMK;4511;4077;294;346
Prop. Sumatera Utara;2,163792;98,256226;SMP;6694;11836;1081;1943
Prop. Sumatera Barat;-0,944781;100,689697;SD;8666;17371;1420;1950
Prop. Sumatera Barat;-0,944781;100,689697;SLB;307;400;14;10
Prop. Sumatera Barat;-0,944781;100,689697;SMA;2448;1951;90;212
Prop. Sumatera Barat;-0,944781;100,689697;SMK;1407;1080;36;40
Prop. Sumatera Barat;-0,944781;100,689697;SMP;2516;4525;434;721
Prop. Riau;0,439449;101,942139;SD;8589;16596;2093;2826
Prop. Riau;0,439449;101,942139;SLB;109;192;11;0
Prop. Riau;0,439449;101,942139;SMA;2299;2030;158;186
Prop. Riau;0,439449;101,942139;SMK;1577;1257;109;104
Prop. Riau;0,439449;101,942139;SMP;2396;4987;713;742
Prop. Jambi;-1,589423;103,60911;SD;3643;10339;1545;2112
Prop. Jambi;-1,589423;103,60911;SLB;32;127;21;0
Prop. Jambi;-1,589423;103,60911;SMA;834;1261;117;171
Prop. Jambi;-1,589423;103,60911;SMK;654;864;56;77
Prop. Jambi;-1,589423;103,60911;SMP;1081;2878;462;526
Prop. Sumatera Selatan;-3,319437;103,914399;SD;9263;19489;2032;3160
Prop. Sumatera Selatan;-3,319437;103,914399;SLB;157;81;5;1
Prop. Sumatera Selatan;-3,319437;103,914399;SMA;2875;2632;253;328
Prop. Sumatera Selatan;-3,319437;103,914399;SMK;1313;1287;60;120
Prop. Sumatera Selatan;-3,319437;103,914399;SMP;2577;6275;720;1300
Prop. Lampung;-4,558585;105,406808;SD;6634;18647;2672;5876
Prop. Lampung;-4,558585;105,406808;SLB;83;135;38;7
Prop. Lampung;-4,558585;105,406808;SMA;1883;2364;182;265
Prop. Lampung;-4,558585;105,406808;SMK;1495;2048;78;145
Prop. Lampung;-4,558585;105,406808;SMP;2308;6294;894;1501
Prop. Kalimantan Barat;-0,278781;111,475285;SD;5506;15695;2509;4594
Prop. Kalimantan Barat;-0,278781;111,475285;SLB;50;97;0;10
