Wilayah;Keterangan;Bahasa Indonesia;Bahasa Inggris;Matematika;IPA;Fisika;Kimia;Biologi;Ekonomi;Sosiologi;Geografi;Kejuruan;Jumlah Peserta;latitude;longitude
Indonesia;Nilai Rata-rata Sekolah UN SMP;71,06;60,01;56,28;59,88;;;;;;;;4129171;;
Indonesia;Nilai Rata-rata Sekolah UN SMA IPA;75,26;65,83;59,17;;67,43;59,98;64,04;;;;;758067;;
Indonesia;Nilai Rata-rata Sekolah UN SMA IPS;67,36;58,43;55,76;;;;;54,92;59;51,55;;852878;;
Indonesia;Nilai Rata-rata Sekolah UN SMA SMK;65,45;55,3;48,24;;;;;;;;79,62;1241348;;
Provinsi Aceh;Nilai Rata-rata Sekolah UN SMA IPS;66,61;64,6;63,83;;;;;53,82;58,26;57,79;;21069;4.695.135;967.493.993
Provinsi Aceh;Nilai Rata-rata Sekolah UN SMA SMK;53,94;50,4;38,54;;;;;;;;75,35;11753;4.695.135;967.493.993
Provinsi Aceh;Nilai Rata-rata Sekolah UN SMA IPA;72,78;70;64,68;;69,37;70,57;67,36;;;;;34673;4.695.135;967.493.993
Provinsi Aceh;Nilai Rata-rata Sekolah UN SMP;65,14;65,23;65,86;62,73;;;;;;;;91139;4.695.135;967.493.993
Provinsi Bali;Nilai Rata-rata Sekolah UN SMP;71,63;64,42;59,35;66,07;;;;;;;;65356;-84.095.178;115.188.916
Provinsi Bali;Nilai Rata-rata Sekolah UN SMA IPA;82,79;85,66;80,74;;85,98;82,19;82,72;;;;;14168;-84.095.178;115.188.916
Provinsi Bali;Nilai Rata-rata Sekolah UN SMA IPS;72,03;81,53;73,55;;;;;72,61;75,26;63,87;;8833;-84.095.178;115.188.916
Provinsi Bali;Nilai Rata-rata Sekolah UN SMA SMK;74,36;75,96;71,61;;;;;;;;81,31;25704;-84.095.178;115.188.916
Provinsi Kepulauan Bangka Belitung;Nilai Rata-rata Sekolah UN SMA IPS;67,85;45,63;35,48;;;;;38,37;50,22;42,97;;4121;-27.410.513;1.064.405.872
Provinsi Kepulauan Bangka Belitung;Nilai Rata-rata Sekolah UN SMA SMK;66,41;48,31;41,52;;;;;;;;75,54;6128;-27.410.513;1.064.405.872
Provinsi Kepulauan Bangka Belitung;Nilai Rata-rata Sekolah UN SMA IPA;75,3;54,77;36,34;;42,11;44,92;46,72;;;;;2912;-27.410.513;1.064.405.872
Provinsi Kepulauan Bangka Belitung;Nilai Rata-rata Sekolah UN SMP;73,36;49,65;42,61;48;;;;;;;;19104;-27.410.513;1.064.405.872
Provinsi Banten;Nilai Rata-rata Sekolah UN SMP;63,75;52,02;47,43;49,88;;;;;;;;197053;-64.058.172;1.060.640.179
Provinsi Banten;Nilai Rata-rata Sekolah UN SMA IPA;72,74;63,26;50,15;;58,64;54,82;56,64;;;;;26492;-64.058.172;1.060.640.179
Provinsi Banten;Nilai Rata-rata Sekolah UN SMA IPS;64,35;54,07;46,83;;;;;45,15;52,01;48,67;;36904;-64.058.172;1.060.640.179
Provinsi Banten;Nilai Rata-rata Sekolah UN SMA SMK;57,96;48,43;35,57;;;;;;;;80,29;62463;-64.058.172;1.060.640.179
