Wilayah;Lintang;Bujur;SD;SMP;SMA;SMK;PLB
Indonesia;-2,219622;117,564668;33,25;31,68;39,47;63,65;9,83
Prop. Aceh;3,93002;97,833252;25,62;21,31;29,32;39,34;14,77
Prop. Bali;-8,409518;115,188916;27,98;30,42;35,41;84,23;11,28
Prop. Bangka Belitung;-2,741051;106,440587;31,29;48,07;49,67;59,8;18,83
Prop. Banten;-6,405817;106,064018;42,74;50,81;55,21;119,26;11,14
Prop. Bengkulu;-3,792845;102,260764;27,46;30,08;37,19;48,96;12,92
Prop. D.I. Yogyakarta;-7,79558;110,36949;25,85;21,44;26,45;43,15;5,57
Prop. D.K.I. Jakarta;-6,208763;106,845599;42,53;32,36;37,4;63,89;7,36
Prop. Gorontalo;0,543544;123,056769;35,64;23,94;42,88;42,5;18,26
Prop. Jambi;-1,589423;103,60911;30,66;27,24;44,63;63,22;13,82
Prop. Jawa Barat;-7,090911;107,668887;38,54;44,65;44,4;104,93;8,7
Prop. Jawa Tengah;-7,150975;110,140259;28,17;26,84;32,38;58,44;9,2
Prop. Jawa Timur;-7,536064;112,238402;25,09;25,93;32,93;55,38;8,69
Prop. Kalimantan Barat;-0,278781;111,475285;34,4;49,86;67,47;80,14;15,56
Prop. Kalimantan Selatan;-3,092642;115,283758;25,94;24,85;35,11;62,84;8,83
Prop. Kalimantan Tengah;-1,681488;113,382355;25,3;32,85;34,33;41,39;10,36
Prop. Kalimantan Timur;0,538659;116,419389;36,75;34,14;45,57;81,32;15,67
Prop. Kalimantan Utara;3,073093;116,041389;45,05;41,59;75;100,99;47,43
Prop. Kepulauan Riau;2,108899;105,853271;55,6;47,89;49,07;99,02;24,95
Prop. Lampung;-4,558585;105,406808;31,84;30,48;35,8;66,47;10,3
Prop. Maluku;-3,238462;130,145273;43,69;35,61;46,25;43,94;31,12
Prop. Maluku Utara;1,570999;127,808769;63,45;38,89;55,7;60,49;11,3
Prop. Nusa Tenggara Barat;-8,652933;117,361648;29,88;27,96;38,36;50,66;15,11
Prop. Nusa Tenggara Timur;-8,657382;121,07937;61,47;52,55;58,97;52,32;16,52
Prop. Papua;-4,269928;138,080353;118,03;52,36;44,35;43,54;9,18
Prop. Papua Barat;-1,336115;133,174716;69,36;37,66;41,31;42,53;15,27
Prop. Riau;0,439449;101,942139;38,44;31,57;43,38;67,76;16,86
Prop. Sulawesi Barat;-2,844137;119,232078;38,21;35,83;47,81;65,71;21,79
Prop. Sulawesi Selatan;-3,668799;119,974053;27,82;25,61;38,17;45,35;8,58
Prop. Sulawesi Tengah;-1,430025;121,445618;35,86;28,89;45,38;55;11,38
Prop. Sulawesi Tenggara;-4,14491;122,174605;34,57;23,32;31,74;30,2;18,12
Prop. Sulawesi Utara;0,624693;123,975002;26,7;22,37;32,65;37,42;10,05
Prop. Sumatera Barat;-0,944781;100,689697;29,11;20,87;32,83;36,71;10,99
Prop. Sumatera Selatan;-3,319437;103,914399;39,44;37,96;50,09;76,18;11,37
Prop. Sumatera Utara;2,163792;98,256226;34,82;30,96;43,28;53,45;12,83
Kab. Aceh Barat;4,456691;96,185278;25,51;22,06;61,4;26,37;7,75
Kab. Aceh Barat Daya;3,824859;96,878346;20,51;21,99;46,33;31,58;11
Kab. Aceh Besar;5,38055;95,514973;20,26;12,68;19,65;60,68;20,33
Kab. Aceh Jaya;4,833007;95,678538;26,54;28,5;35,76;93,86;0
Kab. Aceh Selatan;3,162698;97,435474;20,71;22,69;31,68;26,75;0
Kab. Aceh Singkil;2,351059;97,846996;53;43,68;53,49;81,62;0
Kab. Aceh Tamiang;4,229489;97,976987;33,42;24,37;35,31;55,21;18,64
Kab. Aceh Tengah;4,530121;96,859023;23,95;16,06;31,33;41,07;10,5
Kab. Aceh Tenggara;3,369112;97,696621;26,69;32,3;51,1;105,76;8,29
Kab. Aceh Timur;4,629968;97,627748;30,7;28,41;36,03;55,88;0
Kab. Aceh Utara;5,014969;97,181919;22,98;21,41;25,72;47,47;129
Kab. Agam;-0,24946;100,168307;25,92;16,3;20,86;27,18;14,83
Kab. Alor;-8,30386;124,570064;67,39;48,37;53,2;58,08;15,25
Kab. Asahan;2,802338;99,562584;33,46;34,81;39,89;59,31;14,17
Kab. Asmat;-5,3231;138,62231;251,24;53,42;103,27;52;0
Kab. Badung;-8,582205;115,187262;34;41,3;47,04;147,9;9,79
Kab. Balangan;-2,313234;115,640606;15,68;22,79;58;1317;21
Kab. Bandung;-7,100556;107,607906;41,36;43,6;58,67;104,84;6,67
Kab. Bandung Barat;-6,89515;107,421756;40,15;45,11;56,83;320,53;10,44
Kab. Banggai;-1,02175;122,578573;26,97;25,04;41,28;43,39;12,71
Kab. Banggai Kepulauan;-1,372225;123,143828;32,12;36,54;66,31;213,71;21
KAB. BANGGAI LAUT;-1,788046;123,534412;52,89;33,24;38,3;89,64;0
Kab. Bangka;-1,925481;105,937908;34,77;49,42;43,81;156,89;11,91
Kab. Bangka Barat;-1,890312;105,496372;40,09;61,52;77,76;93,34;0
Kab. Bangka Selatan;-2,774951;106,341134;36,31;61,07;83,46;126,13;23,33
Kab. Bangka Tengah;-2,473159;106,282289;29,97;60,06;48,04;78,79;24,5
Kab. Bangkalan;-7,045272;112,928949;36,09;38,18;50,04;73,35;10,56
Kab. Bangli;-8,292793;115,349588;26,29;29,11;21,05;37,16;8
Kab. Banjar;-3,318883;115,076982;24,58;23,6;47,1;78,67;7,03
Kab. Banjarnegara;-7,351719;109,661553;25,83;26,97;27,21;71,93;12,14
Kab. Bantaeng;-5,488257;119,987034;21,16;24,3;59,26;24,93;4,67
Kab. Bantul;-7,902833;110,359955;29,97;19,99;23,49;38,76;5,31
Kab. Banyuasin;-2,496547;104,664552;43,01;45,05;51,7;121,54;49,5
Kab. Banyumas;-7,452945;109,176469;31,28;27,64;33,81;58,36;18,9
Kab. Banyuwangi;-8,365912;114,206088;28,22;27,29;29,99;57,06;12,36
