Wilayah;Lintang;Bujur;SD;SMP;SMA;SMK;PLB
Indonesia;-2,219622;117,564668;24,99;29,9;30,71;33,66;6,13
Prop. Aceh;3,93002;97,833252;20,23;22,23;25,3;23,65;7,21
Prop. Bali;-8,409518;115,188916;24,95;38,48;32,99;39,82;7,62
Prop. Bangka Belitung;-2,741051;106,440587;24,71;30,3;28,8;27,94;7,68
Prop. Banten;-6,405817;106,064018;35,07;33,36;32,37;36,95;7,15
Prop. Bengkulu;-3,792845;102,260764;21,63;25,03;28,44;23,51;5,55
Prop. D.I. Yogyakarta;-7,79558;110,36949;21,18;27,5;25,32;28,85;4,15
Prop. D.K.I. Jakarta;-6,208763;106,845599;34,65;33,55;29,64;35,61;4,38
Prop. Gorontalo;0,543544;123,056769;21,31;23,81;29;23,85;11
Prop. Jambi;-1,589423;103,60911;22,48;25,07;29,49;27,25;7,6
Prop. Jawa Barat;-7,090911;107,668887;33,44;35,86;34,08;38,57;6,56
Prop. Jawa Tengah;-7,150975;110,140259;23,01;30,26;29,11;36,44;6,01
Prop. Jawa Timur;-7,536064;112,238402;21,84;29,56;30,88;37,8;6,06
Prop. Kalimantan Barat;-0,278781;111,475285;21,56;28,31;31,96;30,67;6,76
Prop. Kalimantan Selatan;-3,092642;115,283758;18,94;25,59;28,36;31,96;4,61
Prop. Kalimantan Tengah;-1,681488;113,382355;17,66;23,73;25,9;23,9;5,52
Prop. Kalimantan Timur;0,538659;116,419389;27,37;29,86;30,33;31,06;6,71
Prop. Kalimantan Utara;3,073093;116,041389;22,81;29,61;33,11;29,57;6,64
Prop. Kepulauan Riau;2,108899;105,853271;30,79;31,91;29,29;27,23;6,87
Prop. Lampung;-4,558585;105,406808;25,09;28,73;30,12;32,68;6,21
Prop. Maluku;-3,238462;130,145273;20,54;24,71;29,03;21,58;11,61
Prop. Maluku Utara;1,570999;127,808769;20,77;25,22;28,15;22,1;4,94
Prop. Nusa Tenggara Barat;-8,652933;117,361648;24,73;27,06;32,18;30,76;7,09
Prop. Nusa Tenggara Timur;-8,657382;121,07937;21,32;28,65;32,36;26,14;6,34
Prop. Papua;-4,269928;138,080353;28,44;30,6;29,72;22,92;6,34
Prop. Papua Barat;-1,336115;133,174716;22,14;25,45;26,24;22,31;8,84
Prop. Riau;0,439449;101,942139;26,86;28,55;29,62;27,08;6,44
Prop. Sulawesi Barat;-2,844137;119,232078;19,83;25,89;30,87;27,23;8,88
Prop. Sulawesi Selatan;-3,668799;119,974053;22,21;27,49;31,59;27,7;5,48
Prop. Sulawesi Tengah;-1,430025;121,445618;19,51;23,18;30,93;24,41;6,69
Prop. Sulawesi Tenggara;-4,14491;122,174605;21,77;23,34;29,08;23,08;7,12
Prop. Sulawesi Utara;0,624693;123,975002;17,85;24,44;25,55;24,47;4,52
Prop. Sumatera Barat;-0,944781;100,689697;22,03;25,98;29,47;30,57;6,09
Prop. Sumatera Selatan;-3,319437;103,914399;27,7;32,15;31,98;34,64;6,41
Prop. Sumatera Utara;2,163792;98,256226;25,54;30,12;33,21;30,7;8,52
Kab. Aceh Barat;4,456691;96,185278;16,33;20,49;25,18;20,04;4,43
Kab. Aceh Barat Daya;3,824859;96,878346;18,17;21,05;27,03;21,43;9,43
Kab. Aceh Besar;5,38055;95,514973;19,82;20,44;20,25;24,02;6,1
Kab. Aceh Jaya;4,833007;95,678538;13,83;18,41;23,57;14,28;0
Kab. Aceh Selatan;3,162698;97,435474;15,28;21,66;25,93;18,67;0
Kab. Aceh Singkil;2,351059;97,846996;23,37;27,58;28,36;21,22;0
